iteration,type,id,money
1,agent,G0,1720000.00
1,agent,G1,1400000.00
1,agent,G2,7851312.47
1,agent,G3,57670000.00
1,agent,G4,60300000.00
1,agent,G5,24723389.12
1,agent,G6,13640000.00
1,agent,G7,3410000.00
1,agent,G8,20700000.00
1,agent,G9,19927389.12
1,firm,F0,31000000.00
1,firm,F1,13000000.00
1,firm,F2,73190905.53
1,firm,F3,3969221.76
1,firm,F4,26000000.00
1,firm,F5,13000000.00
1,firm,F6,13000000.00
1,firm,F7,51000000.00
1,firm,F8,92000000.00
1,firm,F9,54000000.00
2,agent,G0,1720000.00
2,agent,G1,1400000.00
2,agent,G2,7851312.47
2,agent,G3,33478630.81
2,agent,G4,60300000.00
2,agent,G5,24723389.12
2,agent,G6,35584630.81
2,agent,G7,4240663.51
2,agent,G8,20700000.00
2,agent,G9,19927389.12
2,firm,F0,31000000.00
2,firm,F1,13000000.00
2,firm,F2,73190905.53
2,firm,F3,3969221.76
2,firm,F4,28246738.39
2,firm,F5,13000000.00
2,firm,F6,13000000.00
2,firm,F7,51000000.00
2,firm,F8,92000000.00
2,firm,F9,54078462.49
3,agent,G0,992712.42
3,agent,G1,1400000.00
3,agent,G2,8500024.88
3,agent,G3,33478630.81
3,agent,G4,60300000.00
3,agent,G5,24723389.12
3,agent,G6,35584630.81
3,agent,G7,4731371.22
3,agent,G8,20700000.00
3,agent,G9,19927389.12
3,firm,F0,31027045.29
3,firm,F1,13078575.17
3,firm,F2,73190905.53
3,firm,F3,3969221.76
3,firm,F4,28246738.39
3,firm,F5,13000000.00
3,firm,F6,13000000.00
3,firm,F7,51000000.00
3,firm,F8,92000000.00
3,firm,F9,54078462.49
4,agent,G0,992712.42
4,agent,G1,1400000.00
4,agent,G2,5041764.59
4,agent,G3,33478630.81
4,agent,G4,60300000.00
4,agent,G5,24723389.12
4,agent,G6,35584630.81
4,agent,G7,4731371.22
4,agent,G8,24020142.39
4,agent,G9,19927389.12
4,firm,F0,31027045.29
4,firm,F1,13086197.06
4,firm,F2,73437109.54
4,firm,F3,3969221.76
4,firm,F4,28246738.39
4,firm,F5,13000000.00
4,firm,F6,13000000.00
4,firm,F7,51000000.00
4,firm,F8,92000000.00
4,firm,F9,54078462.49
5,agent,G0,992712.42
5,agent,G1,1400000.00
5,agent,G2,5041764.59
5,agent,G3,33478630.81
5,agent,G4,60300000.00
5,agent,G5,32754612.31
5,agent,G6,35584630.81
5,agent,G7,4731371.22
5,agent,G8,24020142.39
5,agent,G9,11532323.32
5,firm,F0,31027045.29
5,firm,F1,13086197.06
5,firm,F2,73471999.84
5,firm,F3,3969221.76
5,firm,F4,28246738.39
5,firm,F5,13000000.00
5,firm,F6,13000000.00
5,firm,F7,51848220.31
5,firm,F8,92000000.00
5,firm,F9,54078462.49
6,agent,G0,992712.42
6,agent,G1,1400000.00
6,agent,G2,4196398.73
6,agent,G3,33478630.81
6,agent,G4,60300000.00
6,agent,G5,32754612.31
6,agent,G6,20558200.84
6,agent,G7,5518474.01
6,agent,G8,24020142.39
6,agent,G9,24973598.00
6,firm,F0,31027045.29
6,firm,F1,13148927.14
6,firm,F2,74381125.84
6,firm,F3,3969221.76
6,firm,F4,28246738.39
6,firm,F5,13000000.00
6,firm,F6,13000000.00
6,firm,F7,51848220.31
6,firm,F8,92000000.00
6,firm,F9,55663617.77
7,agent,G0,992712.42
7,agent,G1,1400000.00
7,agent,G2,4196398.73
7,agent,G3,33533945.15
7,agent,G4,34879530.65
7,agent,G5,32754612.31
7,agent,G6,20558200.84
7,agent,G7,4945406.67
7,agent,G8,24020142.39
7,agent,G9,47783665.43
7,firm,F0,31544798.29
7,firm,F1,13148927.14
7,firm,F2,77038843.84
7,firm,F3,3969221.76
7,firm,F4,28246738.39
7,firm,F5,13000000.00
7,firm,F6,13000000.00
7,firm,F7,51848220.31
7,firm,F8,92000000.00
7,firm,F9,55667735.69
8,agent,G0,998646.30
8,agent,G1,1400000.00
8,agent,G2,4196398.73
8,agent,G3,33533945.15
8,agent,G4,38233403.68
8,agent,G5,32754612.31
8,agent,G6,11899481.74
8,agent,G7,4945406.67
8,agent,G8,31807983.96
8,agent,G9,47783665.43
8,firm,F0,31544798.29
8,firm,F1,14019804.66
8,firm,F2,77038843.84
8,firm,F3,3969221.76
8,firm,F4,28246738.39
8,firm,F5,13000000.00
8,firm,F6,13152308.09
8,firm,F7,51848220.31
8,firm,F8,92000000.00
8,firm,F9,55719169.69
9,agent,G0,998646.30
9,agent,G1,1400000.00
9,agent,G2,4196398.73
9,agent,G3,33533945.15
9,agent,G4,37966261.52
9,agent,G5,29458205.47
9,agent,G6,11899481.74
9,agent,G7,4945406.67
9,agent,G8,30704015.88
9,agent,G9,47783665.43
9,firm,F0,31544798.29
9,firm,F1,14019804.66
9,firm,F2,80602392.84
9,firm,F3,3978458.13
9,firm,F4,28246738.39
9,firm,F5,14216566.71
9,firm,F6,13152308.09
9,firm,F7,51848220.31
9,firm,F8,92000000.00
9,firm,F9,55719169.69
10,agent,G0,998646.30
10,agent,G1,1400000.00
10,agent,G2,3282805.73
10,agent,G3,33533945.15
10,agent,G4,38039375.85
10,agent,G5,29458205.47
10,agent,G6,6955789.13
10,agent,G7,4872292.33
10,agent,G8,31081790.04
10,agent,G9,52359558.21
10,firm,F0,31544798.29
10,firm,F1,14933397.66
10,firm,F2,80970192.67
10,firm,F3,3978458.13
10,firm,F4,28278234.23
10,firm,F5,14216566.71
10,firm,F6,13152308.09
10,firm,F7,51848220.31
10,firm,F8,92000000.00
10,firm,F9,55719169.69
11,agent,G0,998646.30
11,agent,G1,1400000.00
11,agent,G2,3282805.73
11,agent,G3,33533945.15
11,agent,G4,41691648.64
11,agent,G5,29458205.47
11,agent,G6,8781512.04
11,agent,G7,2780324.77
11,agent,G8,30168197.04
11,agent,G9,52359558.21
11,firm,F0,31711759.91
11,firm,F1,14933397.66
11,firm,F2,80970192.67
11,firm,F3,3978458.13
11,firm,F4,29191827.23
11,firm,F5,14216566.71
11,firm,F6,13152308.09
11,firm,F7,51848220.31
11,firm,F8,92000000.00
11,firm,F9,55888994.94
12,agent,G0,998646.30
12,agent,G1,1400000.00
12,agent,G2,3282805.73
12,agent,G3,33533945.15
12,agent,G4,54356552.34
12,agent,G5,29715551.58
12,agent,G6,8781512.04
12,agent,G7,2780324.77
12,agent,G8,19689087.38
12,agent,G9,52359558.21
12,firm,F0,31711759.91
12,firm,F1,14933397.66
12,firm,F2,81473557.88
12,firm,F3,7542007.13
12,firm,F4,30414677.87
12,firm,F5,14216566.71
12,firm,F6,13152308.09
12,firm,F7,51848220.31
12,firm,F8,92000000.00
12,firm,F9,55888994.94
13,agent,G0,998646.30
13,agent,G1,815323.02
13,agent,G2,3350076.37
13,agent,G3,33533945.15
13,agent,G4,54356552.34
13,agent,G5,30250874.60
13,agent,G6,10401334.50
13,agent,G7,2713054.13
13,agent,G8,18779961.38
13,agent,G9,52359558.21
13,firm,F0,31829926.45
13,firm,F1,14933397.66
13,firm,F2,82382683.88
13,firm,F3,7542007.13
13,firm,F4,30414677.87
13,firm,F5,14216566.71
13,firm,F6,13201662.05
13,firm,F7,51848220.31
13,firm,F8,92000000.00
13,firm,F9,55888994.94
14,agent,G0,584356.44
14,agent,G1,815323.02
14,agent,G2,3419459.27
14,agent,G3,33533945.15
14,agent,G4,54356552.34
14,agent,G5,30250874.60
14,agent,G6,9852703.87
14,agent,G7,2643671.23
14,agent,G8,19164588.56
14,agent,G9,52359558.21
14,firm,F0,32739052.45
14,firm,F1,14933397.66
14,firm,F2,82382683.88
14,firm,F3,7561910.75
14,firm,F4,30414677.87
14,firm,F5,14216566.71
14,firm,F6,13201662.05
14,firm,F7,51848220.31
14,firm,F8,92029662.68
14,firm,F9,55888994.94
15,agent,G0,584356.44
15,agent,G1,476241.60
15,agent,G2,3837337.61
15,agent,G3,33533945.15
